EmployeeID,Age,Gender,Department,Position,AnnualSalary,JobSatisfaction,EngagementScore,PerformanceRating,AbsenteeismRate,PromotionInLastYear,ParticipationInTrainingSessions,Tenure
EID0052,64,Male,Marketing,Team Leader,140188.69,5,0.72,2,9.98,0,0,2
EID0053,24,Female,Operations,Team Leader,42216.44,4,0.51,2,12.01,1,7,0
EID0054,61,Male,IT,Senior Analyst,90714.95,3,0.6,1,1.25,1,9,18
EID0055,25,Other,IT,Clerk,56502.33,3,0.46,1,14.42,0,6,1
EID0056,64,Other,Finance,Analyst,34671.6,4,0.83,5,4.61,1,2,43
EID0057,52,Other,Marketing,Analyst,34322.26,3,0.83,3,13.7,0,1,16
EID0058,31,Male,Sales,Senior Analyst,51026.61,1,0.71,1,19.64,0,3,13
EID0059,34,Male,Marketing,Team Leader,134012.44,3,0.11,2,13.82,1,2,9
EID0060,53,Male,IT,Senior Analyst,63897.45,3,0.84,2,17.66,0,6,2
EID0061,57,Male,IT,Senior Analyst,144055.1,4,0.67,4,18.96,1,9,35
EID0062,21,Other,Operations,Manager,99794.68,4,0.7,1,9.74,0,7,1
EID0063,19,Other,Marketing,Clerk,82393.7,3,0.36,5,14.05,0,5,1
EID0064,23,Female,Marketing,Analyst,99610.66,2,0.88,3,17.04,1,2,0
EID0065,59,Female,IT,Team Leader,92003.81,4,0.73,5,7.13,0,5,21
EID0066,21,Male,Sales,Analyst,121053.15,5,0.11,2,5.23,0,1,3
EID0067,46,Other,Finance,Analyst,63899.53,5,0.41,5,18.93,0,6,6
EID0068,35,Other,Finance,Clerk,72366.05,1,0.89,2,14.53,0,9,14
EID0069,43,Other,Marketing,Analyst,137291.32,3,0.05,2,4.39,0,6,20
EID0070,61,Female,Finance,Analyst,143574.78,2,0.96,2,8.98,0,3,29
EID0071,51,Female,IT,Senior Analyst,137106.99,1,0.68,2,15.93,0,7,27
EID0072,27,Other,IT,Clerk,80333.76,3,0.63,2,10.94,0,3,8
EID0073,53,Other,Marketing,Manager,123643.86,4,0.27,4,13,1,6,25
EID0074,31,Other,Marketing,Team Leader,87160.29,5,0.25,5,15.08,0,3,10
EID0075,48,Female,Operations,Analyst,89704.78,2,0.94,4,12.44,0,4,21
EID0076,32,Other,Marketing,Team Leader,54561.61,5,0.3,4,10.8,1,6,4
EID0077,25,Other,Sales,Manager,100935.64,4,0.78,1,14.99,1,9,0
EID0078,31,Male,Finance,Team Leader,52336.31,3,0.39,1,14.55,1,2,4
EID0079,40,Male,Marketing,Manager,69787.76,4,0.14,1,12.6,0,9,12
EID0080,57,Female,HR,Senior Analyst,132603.62,4,0.01,3,7.2,1,4,20
EID0081,38,Other,Operations,Analyst,54849.1,5,0.54,1,8.12,1,2,13
EID0082,33,Other,HR,Manager,38538.99,2,0.98,5,19.41,0,4,8
EID0083,62,Male,IT,Team Leader,38280.91,4,0.37,4,2.25,0,2,16
EID0084,35,Female,Finance,Analyst,142894.14,5,0.36,5,5.37,1,9,14
EID0085,64,Male,Marketing,Senior Analyst,90830.45,2,0.34,1,9.85,1,6,20
EID0086,41,Male,HR,Analyst,79129.45,3,0.52,3,16.73,0,0,6
EID0087,43,Male,Finance,Manager,127305.43,3,0.44,3,3.27,0,8,21
EID0088,42,Male,IT,Senior Analyst,130299.11,1,0.88,4,5.54,0,8,21
EID0089,62,Other,Sales,Team Leader,69862.92,5,0.51,5,1.32,0,4,11
EID0090,58,Other,Operations,Senior Analyst,113234.17,2,0.51,2,14.12,0,8,5
EID0091,46,Male,Finance,Senior Analyst,122534.74,4,0.14,5,4.76,1,9,20
EID0092,32,Female,Finance,Clerk,108558.08,3,0.98,1,7.77,0,5,9
EID0093,62,Female,Sales,Senior Analyst,48191.41,2,0.25,2,8.87,0,4,4
EID0094,18,Female,Finance,Senior Analyst,135105.97,5,0.07,3,17.83,0,2,0
EID0095,42,Female,IT,Analyst,94691.35,1,0.66,4,8.23,0,7,8
EID0096,24,Male,IT,Team Leader,63896.69,3,0.6,4,2.9,0,3,5
EID0097,26,Other,Sales,Analyst,81027.38,2,0.42,3,10.49,1,9,7
EID0098,41,Female,Operations,Analyst,34508.53,2,0.42,1,19.26,0,2,13
EID0099,18,Male,Marketing,Manager,45344.02,2,0.79,3,12.15,1,5,0
EID0100,61,Female,HR,Analyst,121865.61,5,0.2,1,19.67,0,7,43
EID0101,25,Female,Marketing,Clerk,30001.4,5,0.82,2,16.82,1,8,6
EID0102,41,Male,Finance,Clerk,79987.9,5,0.65,3,0.72,1,5,9
EID0103,28,Other,HR,Manager,92701.22,4,0.42,1,13.17,0,4,3
EID0104,34,Other,Sales,Team Leader,36556.13,2,0.46,2,5.74,0,1,12
EID0105,25,Male,Sales,Team Leader,146769.38,3,0.26,3,11.19,0,1,4
EID0106,52,Other,Operations,Analyst,57135.04,5,0.75,4,5.59,0,8,18
EID0107,52,Male,HR,Analyst,66503.85,5,0.51,3,6.98,0,1,7
EID0108,50,Male,IT,Analyst,66473.1,2,0.32,5,18.46,1,1,22
EID0109,22,Male,HR,Team Leader,57650,5,0.6,3,4.13,0,2,4
EID0110,59,Other,Finance,Senior Analyst,30176.86,4,1,5,17.48,0,2,41
EID0111,56,Male,IT,Clerk,117521.38,4,0.44,2,0.61,1,3,34
EID0112,58,Female,Sales,Senior Analyst,146021.46,5,0.92,3,1.82,0,6,30
EID0113,45,Other,HR,Senior Analyst,56915.22,2,0.35,2,17.09,1,8,20
EID0114,24,Other,Marketing,Team Leader,109565.66,2,0.05,2,12.61,0,1,2
EID0115,26,Other,Operations,Senior Analyst,119027.56,2,0.2,1,14.94,1,3,4
EID0116,25,Other,Marketing,Manager,131811.05,1,0.42,2,4.19,0,8,7
EID0117,29,Female,Operations,Analyst,80715.5,5,0.22,2,10.74,1,1,0
EID0118,51,Other,Finance,Manager,66351.71,2,0,3,14.74,1,9,31
EID0119,50,Other,Marketing,Clerk,69035.42,4,0.92,3,12.55,0,0,31
EID0120,40,Male,HR,Analyst,115514.56,3,0.84,4,9.43,0,9,19
EID0121,41,Other,HR,Senior Analyst,128013.54,3,0.74,1,19.2,0,7,19
EID0122,54,Female,Marketing,Clerk,51793.68,2,0.17,2,13.52,1,8,1
EID0123,52,Female,HR,Analyst,74512.92,3,0.12,1,18.16,1,6,19
EID0124,61,Female,Finance,Senior Analyst,138232.82,3,0.07,5,14.6,1,7,17
EID0125,57,Female,IT,Manager,126803.22,1,0.72,2,14.71,0,3,0
EID0126,39,Other,Finance,Analyst,148183.01,4,0.93,1,1.6,0,3,18
EID0127,44,Other,Operations,Senior Analyst,120509.79,4,0.43,4,7.19,1,1,11
EID0128,52,Female,Finance,Manager,77183.42,1,0.12,4,17.17,0,7,5
EID0129,18,Female,Operations,Clerk,100876.54,1,0.51,2,4.65,1,1,0
EID0130,52,Other,HR,Clerk,109321.71,3,0.35,5,2.31,0,8,7
EID0131,54,Female,IT,Clerk,39414.7,5,0.37,4,6.52,0,3,23
EID0132,64,Male,HR,Clerk,95339.64,3,0.62,4,4.41,1,0,19
EID0133,31,Female,Sales,Team Leader,115118.5,1,0.72,5,18.51,0,3,5
EID0134,20,Female,HR,Analyst,50078.56,4,0.11,1,17.36,0,2,1
EID0135,18,Male,Operations,Analyst,123675.81,3,0.04,4,9.99,0,5,0
EID0136,22,Male,HR,Team Leader,100052.73,5,0.99,3,1.23,0,6,4
EID0137,43,Other,HR,Senior Analyst,144266.61,3,0.23,4,14.29,0,7,8
EID0138,31,Other,IT,Senior Analyst,35090.68,2,0.05,1,12.47,1,1,7
EID0139,56,Male,HR,Clerk,61839.14,3,0.19,1,19.41,0,5,33
EID0140,44,Male,IT,Manager,102186.47,1,0.04,2,11.18,1,5,15
EID0141,26,Other,Marketing,Senior Analyst,65587.19,4,0.39,3,6.73,0,9,6
EID0142,32,Female,Sales,Manager,115730.9,4,0.8,1,10.38,0,4,6
EID0143,32,Male,IT,Analyst,121080.63,1,0.34,5,19.59,1,9,10
EID0144,43,Other,Operations,Manager,42301.92,2,0.44,3,13.93,1,9,13
EID0145,59,Female,Marketing,Analyst,91662.54,1,0.68,3,13.44,0,6,13
EID0146,30,Male,IT,Team Leader,91066.87,3,0.51,5,4.81,0,2,11
EID0147,49,Female,IT,Team Leader,74313.69,1,0.86,4,14.87,1,3,0
EID0148,56,Other,Sales,Clerk,141950.98,1,0.87,5,15.01,1,9,32
EID0149,49,Male,Operations,Senior Analyst,129300.76,2,0.01,5,6.35,1,8,11
EID0150,21,Female,Finance,Clerk,113665.13,3,0.78,4,9.67,1,3,3
EID0151,47,Male,Finance,Analyst,115719.2,5,0.46,4,5.89,0,2,20
EID0152,54,Female,IT,Clerk,85405.94,5,0.99,4,5.17,0,1,35
EID0153,40,Other,HR,Manager,140519.34,4,0.48,4,0.52,0,4,6
EID0154,56,Other,Operations,Analyst,113351.45,1,0.99,4,5.7,0,3,31
EID0155,62,Male,Marketing,Team Leader,117477.73,4,0.75,5,11.08,0,7,2
EID0156,32,Female,HR,Senior Analyst,133402.91,2,0.25,2,0.03,1,6,6
EID0157,60,Male,HR,Analyst,62888.59,5,0.54,2,5.66,1,5,28
EID0158,46,Male,Operations,Analyst,126848.51,1,0.99,1,17.63,1,1,23
EID0159,53,Female,IT,Manager,53428.87,2,0.86,2,11.87,0,2,21
EID0160,30,Female,IT,Senior Analyst,71441.03,2,0.1,2,12.16,1,9,5
EID0161,49,Female,IT,Team Leader,70273.25,1,0.71,5,8.07,0,8,15
EID0162,24,Other,IT,Analyst,147423.06,2,0.35,4,13.53,0,8,6
EID0163,39,Male,Finance,Analyst,132784.47,1,0.01,4,3.8,0,4,21
EID0164,45,Male,IT,Manager,114140.38,1,0.4,5,16.37,1,2,5
EID0165,19,Other,Finance,Clerk,117246.81,3,0.23,2,2.33,0,1,1
EID0166,59,Female,Finance,Team Leader,97448.74,4,0.82,5,13.12,0,7,15
EID0167,62,Other,IT,Senior Analyst,143650.88,2,0.34,1,6.82,1,5,10
EID0168,23,Other,Sales,Analyst,89551.05,2,0.83,4,14.95,0,9,4
EID0169,45,Other,Marketing,Analyst,75662.13,3,0,3,11,1,6,5
EID0170,45,Male,HR,Team Leader,49564.24,3,0.31,1,9.05,0,0,23
EID0171,61,Other,Finance,Clerk,124344.68,3,0.24,1,3.39,1,0,32
EID0172,61,Male,Operations,Analyst,118133.27,5,0.23,5,12.74,0,9,11
EID0173,37,Male,Operations,Team Leader,76122.6,5,0.07,2,19.5,0,1,5
EID0174,47,Male,Marketing,Manager,33023.21,5,0.19,4,16.51,1,9,29
EID0175,28,Female,Operations,Clerk,130679.68,1,0.56,3,1.2,0,2,1
EID0176,45,Male,Sales,Senior Analyst,31370.16,2,0.29,1,7.52,1,0,12
EID0177,42,Male,Operations,Analyst,114443.97,4,0.42,3,18.51,0,4,6
EID0178,56,Female,HR,Team Leader,146430.85,1,0.38,2,10.06,1,2,12
EID0179,50,Male,HR,Manager,82519.36,2,0.88,2,13.24,0,0,29
EID0180,18,Other,Finance,Senior Analyst,58196.81,2,0.91,3,18.25,0,7,0
EID0181,44,Other,IT,Team Leader,114584.52,3,0.49,4,17.48,0,5,20
EID0182,30,Male,Sales,Team Leader,128055.38,3,0.33,2,10.04,1,8,0
EID0183,58,Female,Finance,Senior Analyst,95571.64,1,0.11,3,8.75,1,2,40
EID0184,20,Other,Sales,Manager,146044.23,3,0.95,1,6.79,1,8,0
EID0185,56,Female,IT,Manager,36200.25,2,0.06,3,14.38,1,8,33
EID0186,23,Female,Operations,Clerk,90575.47,3,0.3,3,5.74,1,0,3
EID0187,25,Other,Operations,Analyst,116214.47,5,0.3,5,5,0,2,5
EID0188,44,Female,IT,Senior Analyst,133516.86,3,0.32,2,7.12,0,5,24
EID0189,26,Other,Finance,Senior Analyst,51510.67,2,0.16,4,3.54,0,7,1
EID0190,54,Female,IT,Senior Analyst,126000.42,1,0.78,4,13.9,0,3,35
EID0191,50,Other,Marketing,Manager,96324.85,4,0.12,5,12.32,0,4,17
EID0192,59,Male,HR,Analyst,77586.44,3,0.63,4,9.66,1,8,4
EID0193,61,Other,Finance,Clerk,45805.8,2,0.12,3,7.81,0,5,18
EID0194,41,Other,Sales,Team Leader,133835.49,4,0.07,5,18.18,1,6,9
EID0195,32,Other,Marketing,Team Leader,48872.78,4,0.91,1,0.58,0,6,1
EID0196,49,Other,Finance,Senior Analyst,67174.54,5,0.19,2,15.38,1,3,29
EID0197,49,Female,IT,Analyst,64805.46,4,0.82,2,18.04,1,3,24
EID0198,41,Male,IT,Manager,134569.68,2,0.54,2,8.93,1,3,20
EID0199,58,Other,IT,Analyst,110724.36,2,0.08,3,11.01,0,4,9
EID0200,29,Female,IT,Analyst,125601.77,3,0.96,1,18.89,0,4,4
EID0201,56,Male,Sales,Manager,60056.15,3,0.25,5,4.25,0,7,21
EID0202,19,Male,Marketing,Senior Analyst,104984.89,3,0.86,5,10.4,0,8,0
EID0203,20,Male,Operations,Analyst,98609.52,4,0.17,2,9.49,1,1,2
EID0204,54,Male,HR,Team Leader,129939.65,4,0.85,1,5.17,1,6,16
EID0205,34,Other,Sales,Manager,138730.45,5,0.01,1,16.37,1,0,8
EID0206,19,Other,Sales,Clerk,31458.81,3,0.51,1,17.99,1,0,1
EID0207,19,Female,Operations,Senior Analyst,110882.39,1,0.77,4,15.64,0,3,1
EID0208,45,Female,Operations,Manager,36220.3,5,0.93,4,3.91,1,9,13
EID0209,40,Female,HR,Clerk,95863.04,1,0.91,2,1.73,0,6,13
EID0210,54,Male,HR,Clerk,64515.93,4,0.82,1,12.11,1,1,7
EID0211,49,Male,Operations,Analyst,66813.19,5,0.89,1,1.14,1,1,22
EID0212,50,Other,IT,Analyst,72355.02,5,0.2,5,13.46,1,0,18
EID0213,18,Male,Sales,Analyst,104555.09,2,0.28,5,10.61,0,9,0
EID0214,36,Male,Finance,Manager,70086,4,0.29,2,13.26,0,1,13
EID0215,19,Male,HR,Manager,117923.89,4,0.38,1,11.8,1,6,0
EID0216,61,Female,HR,Senior Analyst,78543.29,5,0.39,2,8.45,1,8,29
EID0217,43,Female,Operations,Analyst,38202.38,4,0.54,5,4.02,1,5,6
EID0218,49,Other,Marketing,Clerk,124051.18,5,0.16,5,6.11,0,9,26
EID0219,23,Male,Finance,Team Leader,64291,2,0.69,4,10.49,0,1,1
EID0220,49,Male,Finance,Senior Analyst,81932.03,5,0.17,2,13.04,0,9,25
EID0221,21,Other,HR,Manager,112253.27,4,0.31,2,15.59,1,9,3
EID0222,28,Male,IT,Senior Analyst,69894.74,4,0.5,1,15.34,0,8,5
EID0223,34,Male,Marketing,Senior Analyst,36790.28,5,0.8,1,19.45,1,6,13
EID0224,55,Female,Finance,Senior Analyst,74870.53,5,0.74,4,5.72,0,0,10
EID0225,41,Other,HR,Senior Analyst,143333.83,5,0.65,3,1.42,1,8,13
EID0226,22,Other,Finance,Team Leader,107008.13,3,0.16,3,6.91,1,1,4
EID0227,51,Other,Marketing,Analyst,110577.5,4,0.55,3,14.87,0,3,7
EID0228,23,Other,Marketing,Clerk,105873.86,4,0.09,2,8.76,1,8,2
EID0229,39,Female,Sales,Senior Analyst,53879.06,3,0.38,2,16.36,1,3,17
EID0230,28,Female,Operations,Senior Analyst,80200.06,5,0.41,5,10.99,1,2,2
EID0231,33,Male,Operations,Senior Analyst,120112.78,2,0.04,2,18.6,0,0,14
EID0232,50,Male,HR,Analyst,42164.75,5,0.27,2,18.96,1,6,12
EID0233,26,Male,Marketing,Manager,63342.33,5,0.96,2,1.39,0,5,1
EID0234,23,Male,Sales,Manager,63158.29,3,0.95,4,9.13,0,9,4
EID0235,33,Female,Sales,Team Leader,81842.27,4,0.35,2,12.19,1,3,6
EID0236,46,Other,Finance,Manager,147644.25,5,0.04,1,5.12,0,5,10
EID0237,20,Female,Finance,Senior Analyst,38100.31,4,0.18,1,8.14,1,5,1
EID0238,37,Male,Sales,Senior Analyst,92244.12,1,0.39,5,13.55,0,3,10
EID0239,53,Female,Finance,Senior Analyst,51523.76,4,0.95,4,4.53,1,5,30
EID0240,36,Other,Marketing,Team Leader,146481.19,2,0.14,1,12.04,0,9,12
EID0241,43,Other,IT,Senior Analyst,43596.42,2,0.76,4,13.95,1,7,13
EID0242,20,Female,Marketing,Manager,78432.12,5,0.11,4,1.81,1,2,0
EID0243,36,Female,Sales,Analyst,118546.2,4,0.98,5,9.95,1,3,12
EID0244,37,Female,Sales,Analyst,114546.53,5,0.38,4,5.26,1,9,9
EID0245,49,Male,Marketing,Clerk,80727.44,3,0.78,2,14.49,0,0,24
EID0246,24,Female,Finance,Manager,71582.9,2,0.34,4,3.79,0,3,0
EID0247,58,Female,Finance,Senior Analyst,77713.49,5,0.63,5,17.84,1,9,32
EID0248,50,Female,Operations,Analyst,61713.15,3,0.19,5,8.62,0,9,14
EID0249,57,Other,Sales,Manager,54639.95,5,0.15,5,3.96,1,8,15
EID0250,56,Other,HR,Analyst,87964.76,4,0.94,1,8.76,1,7,37
EID0251,35,Male,Operations,Senior Analyst,62224.05,4,0.92,2,8.17,0,3,5
EID0252,57,Male,Finance,Analyst,64495.4,4,0.89,1,8.58,0,6,24
EID0253,18,Other,Marketing,Clerk,108810.73,4,0.63,3,11.71,1,9,0
EID0254,28,Other,Finance,Clerk,146224.48,1,0.81,2,10.42,0,2,3
EID0255,45,Other,Marketing,Analyst,102436.46,3,0.07,4,3,1,8,23
EID0256,42,Female,Operations,Manager,39237.54,3,0.33,5,1.31,0,9,3
EID0257,40,Female,Sales,Manager,39070.03,4,0.31,3,14.59,0,3,1
EID0258,48,Other,Finance,Manager,144170.79,1,0.64,2,11.19,0,1,26
EID0259,47,Female,Marketing,Analyst,65674.89,4,0.36,1,7.18,0,9,23
EID0260,59,Female,Sales,Manager,41048.04,1,0.15,5,16.17,0,4,31
EID0261,52,Male,HR,Senior Analyst,101885.35,4,0.6,1,7.76,1,1,8
EID0262,24,Other,Marketing,Clerk,104837.85,2,0.81,2,15.92,0,9,6
EID0263,33,Other,Operations,Senior Analyst,107820.58,2,0.38,2,6.12,0,5,8
EID0264,43,Female,HR,Manager,62088.24,5,0.13,3,1.46,1,9,7
EID0265,19,Other,HR,Senior Analyst,31813.28,4,0.2,4,18.65,1,0,1
EID0266,18,Male,IT,Manager,145801.84,3,0.24,1,7.89,1,5,0
EID0267,29,Male,Finance,Analyst,60107.17,5,0.3,3,15.85,0,3,0
EID0268,22,Male,Marketing,Senior Analyst,111123.15,2,0.64,5,5.58,0,2,4
EID0269,54,Other,HR,Analyst,114795.58,4,0.6,4,12.93,1,1,11
EID0270,49,Other,IT,Analyst,103200.89,5,0.7,3,17.47,1,6,24
EID0271,26,Other,Operations,Team Leader,67548.89,4,0.36,1,0.83,1,8,1
EID0272,58,Other,Sales,Manager,62531.55,2,0.82,2,16.61,1,2,12
EID0273,52,Other,Marketing,Clerk,101720.19,5,0.2,5,11.43,0,5,3
EID0274,36,Male,HR,Manager,133931.48,2,0.47,1,12.15,0,8,17
EID0275,33,Female,Finance,Clerk,143608.05,1,0.8,4,10.46,0,1,2
EID0276,20,Male,IT,Manager,42708.7,2,0.18,4,17.49,0,6,2
EID0277,37,Other,HR,Analyst,48579.43,4,0.11,2,0.87,0,4,13
EID0278,41,Male,Finance,Senior Analyst,143368.35,3,0.88,2,5.22,1,4,7
EID0279,50,Other,HR,Senior Analyst,118384.23,2,0.34,5,17.52,0,6,11
EID0280,41,Other,Marketing,Team Leader,135959.26,3,0.68,5,15.05,1,8,8
EID0281,28,Male,Marketing,Clerk,54315.92,1,0.03,2,0.35,1,3,5
EID0282,25,Other,Marketing,Clerk,100510.3,5,0.69,2,10.34,1,8,1
EID0283,53,Female,Operations,Clerk,114136.75,5,0.32,4,10.59,0,9,1
EID0284,55,Other,Operations,Analyst,111613.43,3,0.06,2,8.02,1,8,13
EID0285,57,Female,IT,Clerk,78978.2,5,0.61,3,5.95,0,3,5
EID0286,37,Female,Marketing,Senior Analyst,31847.39,2,0.24,1,13.63,1,2,9
EID0287,52,Other,Finance,Analyst,99951.13,3,0.39,2,4.16,0,1,30
EID0288,42,Male,HR,Manager,60372.18,4,0.08,5,15.98,1,8,16
EID0289,52,Female,Sales,Clerk,84030.51,2,0.15,3,16.06,0,1,24
EID0290,42,Male,Finance,Clerk,144909.72,2,0.3,5,8.31,1,5,11
EID0291,46,Female,Operations,Manager,77884.24,2,0.09,3,5.67,1,4,16
EID0292,35,Other,Operations,Clerk,130776.19,4,0.91,2,5.68,1,4,12
EID0293,63,Other,Finance,Manager,52624.87,1,0.01,1,9.65,1,3,18
EID0294,35,Female,Operations,Analyst,110695.26,5,0.48,5,14.39,0,5,11
EID0295,19,Other,Marketing,Senior Analyst,147240.83,3,0.12,3,7.18,0,4,1
EID0296,52,Female,IT,Manager,42227.17,1,0.31,4,12.2,0,3,24
EID0297,33,Other,HR,Team Leader,30998.39,3,0.93,2,7.65,1,8,14
EID0298,58,Male,IT,Manager,82029.94,5,0.16,1,6.09,1,5,36
EID0299,53,Other,HR,Clerk,41115.06,4,0.97,2,0.5,1,9,24
EID0300,50,Male,HR,Analyst,119806.12,2,0.21,4,0.08,1,9,15
EID0301,21,Other,IT,Analyst,139745.84,2,0.74,1,4.54,1,9,0
EID0302,50,Male,Finance,Manager,82082.52,4,0.55,4,8.13,1,2,22
EID0303,31,Other,HR,Senior Analyst,61045.4,1,0.88,2,17.03,0,9,13
EID0304,38,Male,IT,Team Leader,82128.4,1,0.55,3,15.97,0,5,5
EID0305,37,Female,HR,Analyst,116813.74,3,0.53,2,5.34,0,0,10
EID0306,25,Female,Sales,Clerk,31086.5,4,0.2,2,4.89,0,4,3
EID0307,24,Male,Finance,Clerk,100734.48,1,0.17,2,4.55,0,9,4
EID0308,20,Other,Marketing,Senior Analyst,103595,4,0.92,5,6.78,0,5,2
EID0309,34,Male,HR,Analyst,106522.59,5,0.33,4,9.96,0,7,1
EID0310,50,Other,Sales,Manager,59042.65,2,0.37,4,8.77,0,8,5
EID0311,29,Female,Marketing,Clerk,115686.33,2,0.76,4,4.37,1,2,5
EID0312,39,Other,Marketing,Senior Analyst,40966.98,2,0.34,5,2.61,1,1,17
EID0313,39,Female,HR,Analyst,53912.44,4,0.95,3,0.25,1,3,19
EID0314,63,Other,IT,Analyst,135296.41,4,0.74,2,3.08,1,7,39
EID0315,47,Other,HR,Analyst,118646.78,3,0.6,3,14.11,1,7,7
EID0316,55,Other,Sales,Analyst,31649.47,2,0.88,5,4.87,1,2,7
EID0317,55,Male,Marketing,Analyst,59805.15,3,0.05,4,9.37,1,3,32
EID0318,62,Male,HR,Clerk,55728.78,2,0.26,2,11.83,0,2,33
EID0319,25,Female,IT,Senior Analyst,62496.76,3,0.47,1,17.74,0,9,3
EID0320,44,Female,HR,Analyst,59707.17,3,0.23,1,17.78,1,1,14
EID0321,44,Male,Finance,Team Leader,37503.16,5,0.74,3,14.91,0,3,3
EID0322,51,Female,IT,Team Leader,85072.86,3,0.92,4,0.7,0,5,21
EID0323,38,Male,Sales,Senior Analyst,117928.02,4,0.42,1,11.5,0,4,7
EID0324,47,Other,Marketing,Manager,102807.81,3,0.34,3,15.73,0,2,12
EID0325,50,Female,HR,Manager,110744.6,2,0.96,5,0.35,0,1,21
EID0326,45,Female,IT,Manager,39737.9,3,0.44,3,10.99,1,8,4
